Name,Lizenz
friendsofphp/php-cs-fixer,Unbekannt
phpunit/php-token-stream,BSD-3-Clause
phpunit/phpunit-mock-objects,BSD-3-Clause
ircmaxell/password-compat,MIT
symfony/filesystem,MIT
phpunit/php-file-iterator,BSD-3-Clause
symfony/console,MIT
symfony/yaml,MIT
league/container,MIT
facebook/webdriver,Apache-2.0
symfony/polyfill-php55,MIT
joomla-projects/jorobo,GPL-2.0+
joomla-projects/selenium-server-standalone,Unbekannt
behat/gherkin,MIT
symfony/dom-crawler,MIT
sebastian/exporter,BSD-3-Clause
fzaninotto/faker,MIT
sebastian/global-state,BSD-3-Clause
symfony/event-dispatcher,MIT
joomla/compat,GPL-2.0+
sebastian/comparator,BSD-3-Clause
sebastian/environment,BSD-3-Clause
joomla/uri,GPL-2.0+
consolidation/robo,MIT
joomla-projects/joomla-browser,GPL-2.0+
phpunit/phpunit,BSD-3-Clause
composer/ca-bundle,MIT
symfony/polyfill-mbstring,MIT
consolidation/log,MIT
psr/container,MIT
guzzlehttp/psr7,MIT
phpunit/php-code-coverage,BSD-3-Clause
joomla/string,GPL-2.0+
phpunit/php-timer,BSD-3-Clause
symfony/finder,MIT
symfony/process,MIT
stecman/symfony-console-completion,MIT
consolidation/annotated-command,MIT
joomla/registry,GPL-2.0+
symfony/browser-kit,MIT
dflydev/dot-access-data,MIT
phpdocumentor/reflection-common,MIT
phpdocumentor/type-resolver,MIT
symfony/debug,MIT
guzzlehttp/guzzle,MIT
consolidation/output-formatters,MIT
joomla/utilities,GPL-2.0+
psr/http-message,MIT
doctrine/instantiator,MIT
sebastian/diff,BSD-3-Clause
codeception/codeception,MIT
grasmash/yaml-expander,MIT
phpspec/prophecy,MIT
sebastian/recursion-context,BSD-3-Clause
symfony/css-selector,MIT
joomla/github,GPL-2.0+
phpdocumentor/reflection-docblock,MIT
webmozart/assert,MIT
psr/log,MIT
container-interop/container-interop,MIT
guzzlehttp/promises,MIT
sebastian/version,BSD-3-Clause
joomla/http,GPL-2.0+
phpunit/php-text-template,BSD-3-Clause
actions/cache,Unbekannt
actions/cache/restore,Unbekannt
actions/checkout,Unbekannt
actions/upload-artifact,Unbekannt
actions/setup-node,Unbekannt
actions/checkout,Unbekannt
actions/setup-node,Unbekannt
com.github.joomla/joomla-cms,Unbekannt
