Name,Lizenz
@esbuild/linux-riscv64,MIT
side-channel-map,MIT
@babel/plugin-transform-arrow-functions,MIT
regjsgen,MIT
decamelize-keys,MIT
lines-and-columns,MIT
supports-color,MIT
flat-cache,MIT
table,BSD-3-Clause
@babel/plugin-transform-unicode-escapes,MIT
@babel/helper-remap-async-to-generator,MIT
lightningcss-win32-arm64-msvc,MPL-2.0
shepherd.js,MIT
@babel/plugin-syntax-unicode-sets-regex,MIT
lodash.merge,MIT
@claviska/jquery-minicolors,MIT
@babel/plugin-transform-async-to-generator,MIT
jsesc,MIT
@esbuild/android-arm64,MIT
@babel/helper-skip-transparent-expression-wrappers,MIT
color-convert,MIT
safe-buffer,MIT
global-modules,MIT
minimist-options,MIT
@babel/plugin-transform-shorthand-properties,MIT
immutable,MIT
semver,ISC
@codemirror/search,MIT
restore-cursor,MIT
resolve-from,MIT
commondir,MIT
@babel/helper-plugin-utils,MIT
@types/estree,MIT
sass-embedded-linux-musl-riscv64,MIT
es-set-tostringtag,MIT
@babel/helper-member-expression-to-functions,MIT
parent-module,MIT
postcss-media-query-parser,MIT
@types/parse-json,MIT
set-function-name,MIT
@eslint-community/regexpp,MIT
sa11y,GPL-2.0-or-later
es-to-primitive,MIT
@rollup/rollup-linux-x64-gnu,MIT
@babel/plugin-transform-logical-assignment-operators,MIT
@babel/plugin-transform-property-literals,MIT
smtp-server,MIT-0
is-symbol,MIT
type-check,MIT
hard-rejection,MIT
postcss-selector-parser,MIT
@rollup/rollup-android-arm64,MIT
@babel/plugin-syntax-import-attributes,MIT
@esbuild/android-arm,MIT
sass-embedded-android-arm64,MIT
is-plain-obj,MIT
stylelint,MIT
is-regex,MIT
is-weakref,MIT
possible-typed-array-names,MIT
@vue/shared,MIT
math-intrinsics,MIT
@rollup/pluginutils,MIT
map-obj,MIT
fs-extra,MIT
@esbuild/linux-ppc64,MIT
is-string,MIT
html-to-text,MIT
performance-now,MIT
ini,ISC
@babel/plugin-syntax-import-assertions,MIT
get-intrinsic,MIT
@types/mailparser,MIT
fast-deep-equal,MIT
es-errors,MIT
path-scurry,BlueOak-1.0.0
ci-info,MIT
@babel/plugin-transform-member-expression-literals,MIT
is-set,MIT
json-schema,AFL-2.1 OR BSD-3-Clause OR (AFL-2.1 AND BSD-3-Clause)
caseless,Apache-2.0
dom-walk,MIT
concat-map,MIT
quick-lru,MIT
string.prototype.trimstart,MIT
cli-progress,MIT
@codemirror/lang-javascript,MIT
@babel/preset-modules,MIT
skipto,Unbekannt
eslint-scope,BSD-2-Clause
@types/node,MIT
@lezer/css,MIT
tlds,MIT
@bufbuild/protobuf,Apache-2.0 AND BSD-3-Clause
eslint-plugin-vue,MIT
arrify,MIT
ansi-escapes,MIT
@types/smtp-server,MIT
@lezer/lr,MIT
babel-plugin-polyfill-corejs2,MIT
colorparsley,Unbekannt
@types/nodemailer,MIT
blob-util,Apache-2.0
is-shared-array-buffer,MIT
string-width,MIT
es-module-shims,MIT
@babel/plugin-transform-classes,MIT
get-symbol-description,MIT
process,MIT
@cypress/xvfb,MIT
path-exists,MIT
fuse.js,Apache-2.0
end-of-stream,MIT
has-symbols,MIT
qrcode-generator,MIT
svg-tags,MIT
camelcase-keys,MIT
p-locate,MIT
undici-types,MIT
normalize-package-data,BSD-2-Clause
@codemirror/lang-css,MIT
sass-embedded-linux-musl-x64,MIT
nth-check,BSD-2-Clause
find-up,MIT
require-from-string,MIT
safe-buffer,MIT
side-channel-list,MIT
is-typed-array,MIT
regenerate-unicode-properties,MIT
lodash.truncate,MIT
dragula,MIT
unicode-property-aliases-ecmascript,LicenseRef-scancode-unicode AND MIT
ajv,MIT
lightningcss-linux-arm64-musl,MPL-2.0
ticky,MIT
source-map-js,BSD-3-Clause
pg-cloudflare,MIT
@rollup/rollup-win32-arm64-msvc,MIT
fdir,MIT
@babel/plugin-transform-sticky-regex,MIT
@babel/plugin-transform-modules-amd,MIT
@vue/compiler-ssr,MIT
is-typedarray,MIT
@vue/compiler-core,MIT
qs,BSD-3-Clause
lightningcss-linux-x64-musl,MPL-2.0
sass-embedded-android-riscv64,MIT
@babel/helper-annotate-as-pure,MIT
path-key,MIT
merge2,MIT
@nodelib/fs.walk,MIT
spdx-expression-parse,MIT
uuid,MIT
@esbuild/freebsd-x64,MIT
tldts,MIT
@vue/reactivity,MIT
sass-embedded-linux-musl-arm64,MIT
log-update,MIT
extract-zip,BSD-2-Clause
base32.js,MIT
@ungap/structured-clone,ISC
@jridgewell/gen-mapping,MIT
dayjs,MIT
gensync,MIT
lodash.once,CC0-1.0 AND MIT
is-extglob,MIT
@rollup/rollup-linux-arm-gnueabihf,MIT
focus-lock,MIT
pg-protocol,MIT
detect-libc,Apache-2.0
sqlstring,MIT
espree,BSD-2-Clause
braces,MIT
@jridgewell/set-array,MIT
awesomplete,MIT
@babel/helper-compilation-targets,MIT
find-up,MIT
choices.js,MIT
@jridgewell/resolve-uri,MIT
pg-connection-string,MIT
node-releases,MIT
fast-uri,BSD-3-Clause
